batting_team,bowling_team,venue,batsman,bowler,over,ball,current_score,wickets,runs_last_5_overs,wickets_last_5_overs,final_score
Lucknow Super Giants,Kolkata Knight Riders,M. Chinnaswamy Stadium,Ayush Badoni,Mitchell Starc,8,2,33,4,39,2,113
Delhi Capitals,Gujarat Titans,Sawai Mansingh Stadium,Mitchell Marsh,Mohammed Shami,5,1,37,0,51,0,138
Chennai Super Kings,Punjab Kings,HPCA Stadium Dharamsala,Shivam Dube,Harpreet Brar,4,5,30,2,63,0,153
Chennai Super Kings,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Ruturaj Gaikwad,Yash Dayal,4,6,33,0,36,0,188
Chennai Super Kings,Lucknow Super Giants,Rajiv Gandhi Intl. Cricket Stadium,Sameer Rizvi,Mayank Yadav,2,2,17,0,42,1,188
Mumbai Indians,Sunrisers Hyderabad,Arun Jaitley Stadium,Nehal Wadhera,Umran Malik,4,3,26,0,34,1,161
Sunrisers Hyderabad,Mumbai Indians,Rajiv Gandhi Intl. Cricket Stadium,Mayank Agarwal,Shreyas Gopal,9,2,90,6,75,0,205
Gujarat Titans,Sunrisers Hyderabad,Barsapara Stadium Guwahati,Rahul Tewatia,T Natarajan,4,1,12,1,49,3,70
Lucknow Super Giants,Gujarat Titans,Eden Gardens,Krunal Pandya,Mohit Sharma,15,1,102,2,39,0,144
Sunrisers Hyderabad,Mumbai Indians,Rajiv Gandhi Intl. Cricket Stadium,Rahul Tripathi,Dilshan Madushanka,10,4,90,2,52,1,222
Chennai Super Kings,Rajasthan Royals,Eden Gardens,Sameer Rizvi,Trent Boult,12,2,102,2,30,1,165
Delhi Capitals,Chennai Super Kings,Rajiv Gandhi Intl. Cricket Stadium,Tristan Stubbs,Shardul Thakur,6,1,43,2,59,0,156
Gujarat Titans,Chennai Super Kings,Eden Gardens,Sai Sudharsan,Mukesh Choudhary,15,6,102,4,28,0,147
Gujarat Titans,Kolkata Knight Riders,PCA Stadium Mohali,Kane Williamson,Mujeeb Ur Rahman,6,6,39,1,57,0,123
Gujarat Titans,Delhi Capitals,Narendra Modi Stadium,Kane Williamson,Lalit Yadav,12,1,91,8,10,0,149
Mumbai Indians,Kolkata Knight Riders,MA Chidambaram Stadium,Romario Shepherd,Sunil Narine,13,5,132,4,46,1,188
Delhi Capitals,Chennai Super Kings,Sawai Mansingh Stadium,Rishabh Pant,Mustafizur Rahman,13,4,103,6,45,1,163
Punjab Kings,Delhi Capitals,Sawai Mansingh Stadium,Shashank Singh,Mukesh Kumar,2,5,33,0,41,0,290
Rajasthan Royals,Lucknow Super Giants,Eden Gardens,Rovman Powell,Mohsin Khan,14,3,128,3,50,1,176
Lucknow Super Giants,Chennai Super Kings,PCA Stadium Mohali,Krunal Pandya,Deepak Chahar,10,5,66,2,26,1,134
Sunrisers Hyderabad,Chennai Super Kings,MA Chidambaram Stadium,Abdul Samad,Tushar Deshpande,3,5,23,1,56,0,180
Lucknow Super Giants,Delhi Capitals,HPCA Stadium Dharamsala,Nicholas Pooran,Mukesh Kumar,15,3,151,1,38,1,244
Chennai Super Kings,Delhi Capitals,Eden Gardens,Ajinkya Rahane,Jhye Richardson,1,5,0,0,36,1,1
Lucknow Super Giants,Gujarat Titans,Wankhede Stadium,Marcus Stoinis,Mohammed Shami,7,1,45,2,36,0,120
Lucknow Super Giants,Kolkata Knight Riders,HPCA Stadium Dharamsala,Nicholas Pooran,Sunil Narine,13,3,133,6,43,1,204
Gujarat Titans,Punjab Kings,HPCA Stadium Dharamsala,Shubman Gill,Harshal Patel,7,6,39,3,48,2,107
Lucknow Super Giants,Delhi Capitals,Rajiv Gandhi Intl. Cricket Stadium,Devdutt Padikkal,Khaleel Ahmed,19,2,155,4,33,0,156
Rajasthan Royals,Kolkata Knight Riders,HPCA Stadium Dharamsala,Riyan Parag,Chetan Sakariya,12,4,112,10,57,0,216
Punjab Kings,Chennai Super Kings,Rajiv Gandhi Intl. Cricket Stadium,Shikhar Dhawan,Ravindra Jadeja,18,4,128,6,27,1,151
Rajasthan Royals,Sunrisers Hyderabad,MA Chidambaram Stadium,Jos Buttler,Mayank Markande,20,6,217,6,38,1,243
Punjab Kings,Lucknow Super Giants,Arun Jaitley Stadium,Shashank Singh,Mayank Yadav,2,4,16,0,57,0,171
Gujarat Titans,Kolkata Knight Riders,Rajiv Gandhi Intl. Cricket Stadium,Shahrukh Khan,Chetan Sakariya,5,6,30,1,27,0,107
Sunrisers Hyderabad,Royal Challengers Bangalore,MA Chidambaram Stadium,Rahul Tripathi,Reece Topley,16,5,122,1,28,0,182
Kolkata Knight Riders,Chennai Super Kings,Ekana Cricket Stadium,Venkatesh Iyer,Mustafizur Rahman,11,1,103,2,47,1,200
Gujarat Titans,Chennai Super Kings,HPCA Stadium Dharamsala,Rahul Tewatia,Shardul Thakur,17,5,121,8,33,1,172
Lucknow Super Giants,Kolkata Knight Riders,HPCA Stadium Dharamsala,Marcus Stoinis,Mitchell Starc,17,5,177,7,75,1,205
Mumbai Indians,Punjab Kings,MA Chidambaram Stadium,Nehal Wadhera,Nathan Ellis,1,3,14,1,75,1,290
Chennai Super Kings,Gujarat Titans,HPCA Stadium Dharamsala,Ruturaj Gaikwad,R Sai Kishore,9,1,71,3,64,0,171
Royal Challengers Bangalore,Lucknow Super Giants,Wankhede Stadium,Cameron Green,Matt Henry,7,2,71,1,35,2,195
Royal Challengers Bangalore,Gujarat Titans,M. Chinnaswamy Stadium,Mahipal Lomror,Umesh Yadav,3,2,18,2,61,1,131
Royal Challengers Bangalore,Sunrisers Hyderabad,MA Chidambaram Stadium,Will Jacks,Mayank Markande,9,6,78,6,34,3,173
Chennai Super Kings,Sunrisers Hyderabad,Arun Jaitley Stadium,Shivam Dube,Marco Jansen,17,4,133,2,33,2,164
Royal Challengers Bangalore,Kolkata Knight Riders,Narendra Modi Stadium,Anuj Rawat,Chetan Sakariya,12,3,98,6,50,1,166
Royal Challengers Bangalore,Gujarat Titans,Sawai Mansingh Stadium,Cameron Green,R Sai Kishore,3,4,25,2,29,0,146
Kolkata Knight Riders,Rajasthan Royals,M. Chinnaswamy Stadium,Venkatesh Iyer,R Ashwin,20,1,130,3,52,1,152
Kolkata Knight Riders,Lucknow Super Giants,Barsapara Stadium Guwahati,Shreyas Iyer,Mohsin Khan,9,2,61,0,32,1,141
Chennai Super Kings,Rajasthan Royals,M. Chinnaswamy Stadium,Daryl Mitchell,Avesh Khan,16,6,99,3,41,0,112
Punjab Kings,Chennai Super Kings,Wankhede Stadium,Rilee Rossouw,Mustafizur Rahman,9,3,60,2,42,2,144
Rajasthan Royals,Punjab Kings,Narendra Modi Stadium,Yashasvi Jaiswal,Harshal Patel,3,1,17,0,61,1,119
Rajasthan Royals,Punjab Kings,Arun Jaitley Stadium,Rovman Powell,Nathan Ellis,12,4,102,9,26,1,158
Sunrisers Hyderabad,Chennai Super Kings,Arun Jaitley Stadium,Mayank Agarwal,Deepak Chahar,4,2,39,2,33,1,220
Delhi Capitals,Gujarat Titans,Eden Gardens,Abishek Porel,Mohammed Shami,18,4,178,10,15,0,179
Chennai Super Kings,Mumbai Indians,MA Chidambaram Stadium,MS Dhoni,Luke Wood,15,5,103,8,64,2,151
Mumbai Indians,Chennai Super Kings,Sawai Mansingh Stadium,Romario Shepherd,Matheesha Pathirana,18,3,159,4,56,1,184
Royal Challengers Bangalore,Kolkata Knight Riders,M. Chinnaswamy Stadium,Anuj Rawat,Chetan Sakariya,20,1,148,8,41,2,149
Chennai Super Kings,Gujarat Titans,Rajiv Gandhi Intl. Cricket Stadium,MS Dhoni,R Sai Kishore,5,6,34,0,35,0,119
Mumbai Indians,Punjab Kings,HPCA Stadium Dharamsala,Dewald Brevis,Arshdeep Singh,18,5,155,10,46,0,156
Punjab Kings,Mumbai Indians,Ekana Cricket Stadium,Rilee Rossouw,Jasprit Bumrah,10,3,76,6,42,1,119
Delhi Capitals,Kolkata Knight Riders,PCA Stadium Mohali,Mitchell Marsh,Mitchell Starc,12,4,106,7,38,1,189
Royal Challengers Bangalore,Delhi Capitals,HPCA Stadium Dharamsala,Faf du Plessis,Jhye Richardson,4,3,36,3,42,1,206
Mumbai Indians,Kolkata Knight Riders,Rajiv Gandhi Intl. Cricket Stadium,Romario Shepherd,Sunil Narine,19,2,177,7,49,0,186
Mumbai Indians,Punjab Kings,Rajiv Gandhi Intl. Cricket Stadium,Ishan Kishan,Vidwath Kaverappa,1,2,0,0,40,1,8
Punjab Kings,Kolkata Knight Riders,Narendra Modi Stadium,Shikhar Dhawan,Sunil Narine,4,4,24,4,34,1,99
Delhi Capitals,Sunrisers Hyderabad,Narendra Modi Stadium,Tristan Stubbs,Jaydev Unadkat,10,3,74,5,44,1,126
Kolkata Knight Riders,Rajasthan Royals,Ekana Cricket Stadium,Venkatesh Iyer,R Ashwin,8,2,67,5,51,2,159
Mumbai Indians,Gujarat Titans,Rajiv Gandhi Intl. Cricket Stadium,Nehal Wadhera,Rashid Khan,7,3,52,5,52,0,165
Rajasthan Royals,Mumbai Indians,MA Chidambaram Stadium,Dhruv Jurel,Akash Madhwal,19,2,142,10,25,0,146
Sunrisers Hyderabad,Gujarat Titans,Arun Jaitley Stadium,Abdul Samad,R Sai Kishore,2,4,1,0,31,0,2
Kolkata Knight Riders,Mumbai Indians,Narendra Modi Stadium,Venkatesh Iyer,Nuwan Thushara,18,1,161,3,41,2,180
Delhi Capitals,Kolkata Knight Riders,PCA Stadium Mohali,Prithvi Shaw,Chetan Sakariya,19,5,176,6,56,1,177
Mumbai Indians,Gujarat Titans,Eden Gardens,Tilak Varma,Rashid Khan,11,4,67,0,58,1,87
Sunrisers Hyderabad,Rajasthan Royals,HPCA Stadium Dharamsala,Abhishek Sharma,Navdeep Saini,1,5,3,0,62,2,70
Sunrisers Hyderabad,Rajasthan Royals,Wankhede Stadium,Travis Head,Navdeep Saini,4,3,25,2,68,0,151
Mumbai Indians,Chennai Super Kings,Rajiv Gandhi Intl. Cricket Stadium,Tilak Varma,Tushar Deshpande,13,2,90,4,53,1,126
Royal Challengers Bangalore,Punjab Kings,Barsapara Stadium Guwahati,Dinesh Karthik,Arshdeep Singh,11,4,102,2,48,1,199
Kolkata Knight Riders,Delhi Capitals,Eden Gardens,Andre Russell,Khaleel Ahmed,19,4,200,9,75,0,212
Punjab Kings,Kolkata Knight Riders,Barsapara Stadium Guwahati,Shashank Singh,Chetan Sakariya,17,3,161,6,54,1,185
Chennai Super Kings,Rajasthan Royals,Eden Gardens,Devon Conway,Trent Boult,3,2,28,0,74,2,174
Royal Challengers Bangalore,Chennai Super Kings,M. Chinnaswamy Stadium,Virat Kohli,Deepak Chahar,12,4,90,4,36,1,187
Kolkata Knight Riders,Rajasthan Royals,Ekana Cricket Stadium,Andre Russell,Trent Boult,1,6,17,0,28,0,290
Kolkata Knight Riders,Sunrisers Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Andre Russell,Jaydev Unadkat,4,5,31,0,34,0,156
Sunrisers Hyderabad,Royal Challengers Bangalore,Rajiv Gandhi Intl. Cricket Stadium,Nitish Kumar Reddy,Mohammed Siraj,16,3,132,4,59,2,156
Royal Challengers Bangalore,Punjab Kings,HPCA Stadium Dharamsala,Dinesh Karthik,Vidwath Kaverappa,15,4,126,2,44,2,168
Lucknow Super Giants,Sunrisers Hyderabad,Wankhede Stadium,Devdutt Padikkal,Jaydev Unadkat,8,4,55,4,31,0,148
Punjab Kings,Gujarat Titans,Narendra Modi Stadium,Liam Livingstone,Spencer Johnson,5,6,55,2,53,1,193
Delhi Capitals,Chennai Super Kings,MA Chidambaram Stadium,Tristan Stubbs,Mukesh Choudhary,5,3,39,1,64,0,157
Sunrisers Hyderabad,Delhi Capitals,Ekana Cricket Stadium,Travis Head,Ishant Sharma,3,6,16,0,19,2,95
Delhi Capitals,Kolkata Knight Riders,Eden Gardens,Mitchell Marsh,Vaibhav Arora,5,1,54,5,38,2,230
Sunrisers Hyderabad,Chennai Super Kings,Rajiv Gandhi Intl. Cricket Stadium,Mayank Agarwal,Tushar Deshpande,16,1,94,8,21,2,125
Gujarat Titans,Kolkata Knight Riders,Wankhede Stadium,Vijay Shankar,Varun Chakaravarthy,8,4,60,2,51,0,158
Punjab Kings,Delhi Capitals,MA Chidambaram Stadium,Liam Livingstone,Lalit Yadav,9,1,55,2,49,4,111
Kolkata Knight Riders,Gujarat Titans,Eden Gardens,Venkatesh Iyer,R Sai Kishore,10,1,91,5,47,2,190
Kolkata Knight Riders,Chennai Super Kings,PCA Stadium Mohali,Shreyas Iyer,Mustafizur Rahman,12,2,100,5,50,1,194
Gujarat Titans,Kolkata Knight Riders,Sawai Mansingh Stadium,David Miller,Chetan Sakariya,18,3,150,7,19,0,185
Sunrisers Hyderabad,Delhi Capitals,HPCA Stadium Dharamsala,Aiden Markram,Anrich Nortje,8,2,64,4,11,4,176
Chennai Super Kings,Delhi Capitals,Sawai Mansingh Stadium,Ajinkya Rahane,Khaleel Ahmed,6,3,42,2,19,0,129
Gujarat Titans,Lucknow Super Giants,MA Chidambaram Stadium,Wriddhiman Saha,Matt Henry,15,1,118,5,37,0,156
Lucknow Super Giants,Sunrisers Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Deepak Hooda,Pat Cummins,14,5,134,4,45,1,178
Lucknow Super Giants,Kolkata Knight Riders,Rajiv Gandhi Intl. Cricket Stadium,Deepak Hooda,Mitchell Starc,15,6,116,7,48,1,154
Mumbai Indians,Delhi Capitals,Barsapara Stadium Guwahati,Tilak Varma,Mukesh Kumar,2,3,5,0,41,0,51
Lucknow Super Giants,Chennai Super Kings,Rajiv Gandhi Intl. Cricket Stadium,Nicholas Pooran,Tushar Deshpande,18,6,145,2,52,0,170
Punjab Kings,Mumbai Indians,M. Chinnaswamy Stadium,Ashutosh Sharma,Dilshan Madushanka,8,1,74,2,35,1,153
Rajasthan Royals,Sunrisers Hyderabad,Sawai Mansingh Stadium,Yashasvi Jaiswal,Pat Cummins,9,4,56,5,45,0,136
Chennai Super Kings,Gujarat Titans,Rajiv Gandhi Intl. Cricket Stadium,Moeen Ali,Mohit Sharma,20,3,203,5,55,0,210
Chennai Super Kings,Lucknow Super Giants,PCA Stadium Mohali,MS Dhoni,Naveen-ul-Haq,4,1,35,0,41,1,171
Punjab Kings,Rajasthan Royals,M. Chinnaswamy Stadium,Prabhsimran Singh,Kuldeep Sen,3,2,18,0,31,1,123
Sunrisers Hyderabad,Punjab Kings,Sawai Mansingh Stadium,Heinrich Klaasen,Harshal Patel,8,2,65,4,46,0,208
Mumbai Indians,Sunrisers Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Hardik Pandya,Umran Malik,1,3,2,1,3,2,32
Punjab Kings,Delhi Capitals,Ekana Cricket Stadium,Sam Curran,Axar Patel,15,3,147,3,52,0,210
Rajasthan Royals,Royal Challengers Bangalore,Arun Jaitley Stadium,Sanju Samson,Akash Deep,8,5,81,0,64,0,213
Delhi Capitals,Sunrisers Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Rishabh Pant,T Natarajan,3,6,20,3,36,4,112
Sunrisers Hyderabad,Kolkata Knight Riders,PCA Stadium Mohali,Nitish Kumar Reddy,Vaibhav Arora,10,4,72,4,26,1,140
Punjab Kings,Sunrisers Hyderabad,Narendra Modi Stadium,Prabhsimran Singh,T Natarajan,4,6,42,3,55,0,225
Kolkata Knight Riders,Punjab Kings,Wankhede Stadium,Angkrish Raghuvanshi,Vidwath Kaverappa,11,2,67,4,40,0,112
Rajasthan Royals,Delhi Capitals,Arun Jaitley Stadium,Jos Buttler,Khaleel Ahmed,9,1,78,2,20,2,214
Gujarat Titans,Delhi Capitals,HPCA Stadium Dharamsala,Sai Sudharsan,Jhye Richardson,7,2,46,1,46,0,144
Gujarat Titans,Delhi Capitals,Sawai Mansingh Stadium,Abhinav Manohar,Ishant Sharma,18,1,154,10,38,0,168
Kolkata Knight Riders,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Rinku Singh,T Natarajan,4,2,38,3,26,1,201
Royal Challengers Bangalore,Lucknow Super Giants,Rajiv Gandhi Intl. Cricket Stadium,Virat Kohli,Mayank Yadav,10,4,89,5,64,1,162
Gujarat Titans,Sunrisers Hyderabad,Sawai Mansingh Stadium,Shubman Gill,Marco Jansen,8,4,83,5,47,1,194
Rajasthan Royals,Delhi Capitals,MA Chidambaram Stadium,Jos Buttler,Mukesh Kumar,19,1,133,5,30,0,175
Sunrisers Hyderabad,Mumbai Indians,Barsapara Stadium Guwahati,Glenn Phillips,Nuwan Thushara,9,5,74,0,55,2,164
Mumbai Indians,Royal Challengers Bangalore,Sawai Mansingh Stadium,Hardik Pandya,Yash Dayal,16,3,146,5,56,0,183
Punjab Kings,Kolkata Knight Riders,Ekana Cricket Stadium,Rilee Rossouw,Mujeeb Ur Rahman,11,2,91,3,44,1,164
Delhi Capitals,Gujarat Titans,PCA Stadium Mohali,Mitchell Marsh,Rashid Khan,16,3,133,3,46,2,157
Chennai Super Kings,Royal Challengers Bangalore,MA Chidambaram Stadium,Devon Conway,Lockie Ferguson,14,3,131,3,60,1,176
Kolkata Knight Riders,Mumbai Indians,Arun Jaitley Stadium,Rinku Singh,Akash Madhwal,20,2,159,10,40,0,164
Mumbai Indians,Lucknow Super Giants,M. Chinnaswamy Stadium,Tilak Varma,Mayank Yadav,9,1,74,6,46,2,196
Rajasthan Royals,Royal Challengers Bangalore,Eden Gardens,Jos Buttler,Mohammed Siraj,13,5,101,7,39,0,175
Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,Rovman Powell,Kuldeep Yadav,3,1,6,1,31,0,29
Lucknow Super Giants,Kolkata Knight Riders,Barsapara Stadium Guwahati,Deepak Hooda,Mujeeb Ur Rahman,15,4,150,5,38,2,198
Chennai Super Kings,Punjab Kings,Eden Gardens,Sameer Rizvi,Rahul Chahar,14,2,118,5,34,1,171
Royal Challengers Bangalore,Punjab Kings,Narendra Modi Stadium,Faf du Plessis,Harpreet Brar,4,3,33,0,51,0,169
Sunrisers Hyderabad,Gujarat Titans,Ekana Cricket Stadium,Heinrich Klaasen,Noor Ahmad,3,5,18,1,41,0,143
Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,Yashasvi Jaiswal,Piyush Chawla,9,3,47,2,49,2,119
Punjab Kings,Kolkata Knight Riders,Arun Jaitley Stadium,Prabhsimran Singh,Vaibhav Arora,11,6,108,4,29,1,187
Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Ishan Kishan,Kuldeep Sen,9,6,83,8,75,1,215
Royal Challengers Bangalore,Rajasthan Royals,MA Chidambaram Stadium,Glenn Maxwell,Yuzvendra Chahal,6,3,60,1,41,0,185
Kolkata Knight Riders,Delhi Capitals,Rajiv Gandhi Intl. Cricket Stadium,Manish Pandey,Axar Patel,2,3,5,1,36,1,29
Punjab Kings,Kolkata Knight Riders,Barsapara Stadium Guwahati,Rilee Rossouw,Chetan Sakariya,9,6,76,4,18,2,153
Kolkata Knight Riders,Sunrisers Hyderabad,Sawai Mansingh Stadium,Manish Pandey,Umran Malik,9,2,73,3,45,2,177
Gujarat Titans,Royal Challengers Bangalore,MA Chidambaram Stadium,Wriddhiman Saha,Karn Sharma,20,1,148,7,42,2,159
Chennai Super Kings,Royal Challengers Bangalore,MA Chidambaram Stadium,Moeen Ali,Karn Sharma,7,6,70,1,32,1,172
Rajasthan Royals,Kolkata Knight Riders,MA Chidambaram Stadium,Rovman Powell,Vaibhav Arora,13,2,117,4,53,2,216
Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,Shimron Hetmyer,Jasprit Bumrah,6,5,48,1,45,2,184
Chennai Super Kings,Delhi Capitals,Wankhede Stadium,MS Dhoni,Ishant Sharma,15,1,137,5,48,1,177
Punjab Kings,Mumbai Indians,Barsapara Stadium Guwahati,Prabhsimran Singh,Luke Wood,8,1,65,0,23,0,164
Mumbai Indians,Sunrisers Hyderabad,MA Chidambaram Stadium,Nehal Wadhera,Umran Malik,11,1,79,1,42,3,141
Kolkata Knight Riders,Lucknow Super Giants,Barsapara Stadium Guwahati,Angkrish Raghuvanshi,Shamar Joseph,8,3,49,2,41,0,111
Royal Challengers Bangalore,Kolkata Knight Riders,Wankhede Stadium,Rajat Patidar,Mujeeb Ur Rahman,16,4,154,4,49,0,163
Punjab Kings,Royal Challengers Bangalore,Barsapara Stadium Guwahati,Sam Curran,Karn Sharma,16,5,124,8,50,1,152
Lucknow Super Giants,Chennai Super Kings,Sawai Mansingh Stadium,KL Rahul,Mukesh Choudhary,12,6,109,1,48,2,188
Delhi Capitals,Punjab Kings,Barsapara Stadium Guwahati,Harry Brook,Kagiso Rabada,8,4,88,2,44,1,206
Mumbai Indians,Lucknow Super Giants,Arun Jaitley Stadium,Tim David,Naveen-ul-Haq,9,1,80,4,75,0,163
Mumbai Indians,Punjab Kings,MA Chidambaram Stadium,Nehal Wadhera,Arshdeep Singh,19,6,186,8,36,0,208
Lucknow Super Giants,Gujarat Titans,Wankhede Stadium,Devdutt Padikkal,Noor Ahmad,19,1,178,7,37,1,179
Delhi Capitals,Kolkata Knight Riders,Eden Gardens,Prithvi Shaw,Vaibhav Arora,5,5,44,1,38,1,160
Delhi Capitals,Punjab Kings,Ekana Cricket Stadium,Yash Dhull,Rahul Chahar,9,4,56,2,23,0,112
Lucknow Super Giants,Kolkata Knight Riders,Eden Gardens,Kyle Mayers,Mujeeb Ur Rahman,4,2,39,1,46,0,212
Lucknow Super Giants,Punjab Kings,MA Chidambaram Stadium,Quinton de Kock,Arshdeep Singh,20,2,163,2,48,2,178
Lucknow Super Giants,Sunrisers Hyderabad,Arun Jaitley Stadium,KL Rahul,Bhuvneshwar Kumar,1,2,7,2,26,0,151
Kolkata Knight Riders,Rajasthan Royals,HPCA Stadium Dharamsala,Angkrish Raghuvanshi,Navdeep Saini,16,4,117,10,31,0,118
Kolkata Knight Riders,Punjab Kings,Barsapara Stadium Guwahati,Shreyas Iyer,Harshal Patel,3,4,13,0,27,0,103
Chennai Super Kings,Delhi Capitals,MA Chidambaram Stadium,Daryl Mitchell,Jhye Richardson,15,3,116,7,44,1,137
Rajasthan Royals,Chennai Super Kings,Eden Gardens,Yashasvi Jaiswal,Mustafizur Rahman,8,3,60,4,48,1,184
Chennai Super Kings,Lucknow Super Giants,HPCA Stadium Dharamsala,Moeen Ali,Matt Henry,11,4,83,4,35,0,170
Sunrisers Hyderabad,Gujarat Titans,Sawai Mansingh Stadium,Rahul Tripathi,Noor Ahmad,10,2,86,3,48,3,151
Rajasthan Royals,Mumbai Indians,PCA Stadium Mohali,Shimron Hetmyer,Piyush Chawla,8,5,79,2,64,0,212
Rajasthan Royals,Chennai Super Kings,Arun Jaitley Stadium,Jos Buttler,Matheesha Pathirana,5,1,32,3,37,2,121
Mumbai Indians,Kolkata Knight Riders,MA Chidambaram Stadium,Rohit Sharma,Chetan Sakariya,14,6,143,2,51,0,216
Kolkata Knight Riders,Gujarat Titans,Rajiv Gandhi Intl. Cricket Stadium,Andre Russell,Mohit Sharma,1,5,0,0,47,1,17
Punjab Kings,Delhi Capitals,PCA Stadium Mohali,Jonny Bairstow,Anrich Nortje,4,1,44,3,56,1,222
Gujarat Titans,Chennai Super Kings,Wankhede Stadium,Shubman Gill,Maheesh Theekshana,7,4,87,5,46,0,250
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Shimron Hetmyer,Akash Deep,1,2,0,1,53,1,2
Sunrisers Hyderabad,Punjab Kings,Narendra Modi Stadium,Abhishek Sharma,Rahul Chahar,4,2,33,2,49,0,176
Sunrisers Hyderabad,Gujarat Titans,Narendra Modi Stadium,Nitish Kumar Reddy,Noor Ahmad,19,1,144,8,32,1,163
Gujarat Titans,Sunrisers Hyderabad,Eden Gardens,Wriddhiman Saha,Mayank Markande,12,5,65,3,44,0,118
Kolkata Knight Riders,Punjab Kings,Wankhede Stadium,Venkatesh Iyer,Kagiso Rabada,1,2,2,0,61,1,49
Sunrisers Hyderabad,Gujarat Titans,PCA Stadium Mohali,Glenn Phillips,Spencer Johnson,3,5,21,2,33,0,137
Royal Challengers Bangalore,Kolkata Knight Riders,Barsapara Stadium Guwahati,Virat Kohli,Varun Chakaravarthy,4,5,57,2,49,0,290
Sunrisers Hyderabad,Kolkata Knight Riders,PCA Stadium Mohali,Aiden Markram,Varun Chakaravarthy,18,3,133,3,37,0,152
Mumbai Indians,Rajasthan Royals,Rajiv Gandhi Intl. Cricket Stadium,Rohit Sharma,Sandeep Sharma,4,2,17,0,42,0,73
Rajasthan Royals,Chennai Super Kings,HPCA Stadium Dharamsala,Sanju Samson,Deepak Chahar,4,6,37,2,52,1,209
Chennai Super Kings,Rajasthan Royals,PCA Stadium Mohali,Daryl Mitchell,Nandre Burger,16,2,139,8,43,0,177
Sunrisers Hyderabad,Delhi Capitals,Rajiv Gandhi Intl. Cricket Stadium,Rahul Tripathi,Kuldeep Yadav,9,5,72,3,19,2,157
Rajasthan Royals,Lucknow Super Giants,Narendra Modi Stadium,Sanju Samson,Ravi Bishnoi,16,5,134,4,62,1,154
Chennai Super Kings,Punjab Kings,Arun Jaitley Stadium,Sameer Rizvi,Nathan Ellis,15,6,124,6,13,0,161
Lucknow Super Giants,Chennai Super Kings,M. Chinnaswamy Stadium,Kyle Mayers,Mukesh Choudhary,17,2,125,8,49,2,156
Rajasthan Royals,Royal Challengers Bangalore,Barsapara Stadium Guwahati,Shubham Dubey,Karn Sharma,2,6,21,1,69,1,227
Kolkata Knight Riders,Royal Challengers Bangalore,Arun Jaitley Stadium,Venkatesh Iyer,Karn Sharma,14,3,122,5,49,0,178
Punjab Kings,Delhi Capitals,PCA Stadium Mohali,Shashank Singh,Jhye Richardson,12,6,125,4,56,0,199
Royal Challengers Bangalore,Gujarat Titans,HPCA Stadium Dharamsala,Anuj Rawat,Noor Ahmad,17,3,142,4,40,0,186
Lucknow Super Giants,Chennai Super Kings,Ekana Cricket Stadium,Marcus Stoinis,Ravindra Jadeja,10,2,95,5,49,2,184
Mumbai Indians,Gujarat Titans,Wankhede Stadium,Tim David,R Sai Kishore,13,1,117,4,46,1,168
Gujarat Titans,Lucknow Super Giants,M. Chinnaswamy Stadium,Shubman Gill,Yash Thakur,14,3,113,7,54,1,154
Delhi Capitals,Lucknow Super Giants,HPCA Stadium Dharamsala,Harry Brook,Naveen-ul-Haq,17,3,134,8,38,0,144
Delhi Capitals,Rajasthan Royals,Sawai Mansingh Stadium,Mitchell Marsh,Avesh Khan,1,1,22,1,39,3,290
Mumbai Indians,Gujarat Titans,HPCA Stadium Dharamsala,Nehal Wadhera,Rashid Khan,2,6,44,1,75,0,290
Gujarat Titans,Sunrisers Hyderabad,Ekana Cricket Stadium,Shubman Gill,Jaydev Unadkat,4,5,33,2,59,1,154
Royal Challengers Bangalore,Sunrisers Hyderabad,Wankhede Stadium,Dinesh Karthik,Jaydev Unadkat,3,2,2,1,36,0,21
Punjab Kings,Royal Challengers Bangalore,HPCA Stadium Dharamsala,Rilee Rossouw,Karn Sharma,11,6,110,0,46,0,197
Lucknow Super Giants,Royal Challengers Bangalore,Sawai Mansingh Stadium,Krunal Pandya,Alzarri Joseph,12,4,90,6,27,0,141
Delhi Capitals,Royal Challengers Bangalore,Ekana Cricket Stadium,Rishabh Pant,Mohammed Siraj,6,4,39,1,40,1,138
Lucknow Super Giants,Chennai Super Kings,PCA Stadium Mohali,Deepak Hooda,Maheesh Theekshana,10,3,84,1,60,1,164
Sunrisers Hyderabad,Gujarat Titans,Barsapara Stadium Guwahati,Aiden Markram,Rashid Khan,5,1,46,0,32,1,191
Gujarat Titans,Mumbai Indians,Wankhede Stadium,Sai Sudharsan,Nuwan Thushara,18,2,150,4,49,0,158
